Tree_Sp_Name,Eq_1,Eq_2,Eq_3,Eq_4,Eq_5,Notes 
Ditaxodon_taeniatus,,,,,,
Pseudoboa_serrana,,,,,,
Clelia_hussami,Clelia_rustica,,,,,*
Clelia_errabunda,,,,,,
Rodriguesophis_scriptorcibatus,Phimophis_scriptorcibatus,,,,,
Siphlophis_leucocephalus,,,,,,
Helicops_yacu,,,,,,
Philodryas_viridissima,Chlorosoma_viridissima,Chlorosoma_viridissimum,Philodryas_viridissimus,Coluber_viridissimus,,Chlorosoma_viridissima is current
Philodryas_georgeboulengeri,,,,,,
Philodryas_argentea,,,,,,
Philodryas_laticeps,,,,,,
Philodryas_amaru,,,,,,
Philodryas_livida,,,,,,
Philodryas_simonsii,,,,,,
Philodryas_tachymenoides,,,,,,
Saphenophis_atahuallpae,,,,,,
Xenodon_nattereri,,,,,,
Xenodon_merremi,,,,,,
Erythrolamprus_torrenicola,,,,,,
Erythrolamprus_albertguentheri,,,,,,
Erythrolamprus_carajasensis,,,,,,
Erythrolamprus_janaleeae,,,,,,
Erythrolamprus_trebbaui,,,,,,
Erythrolamprus_longiventris,,,,,,
Erythrolamprus_ingeri,,,,,,
Erythrolamprus_subocularis,,,,,,
Erythrolamprus_problematicus,,,,,,
Arrhyton_ainictum,,,,,,
Arrhyton_procerum,,,,,,
Magliophis_exiguum,,,,,,
Hypsirhynchus_scalaris,,,,,,
Cubophis_ruttyi,,,,,,
Alsophis_sajdaki,,,,,,
Conophis_morai,,,,,,
Thalesius_viridis,,,,,,
Thermophis_zhaoermii,,,,,,
Stichophanes_ningshaanensis,,,,,,
Heterodon_gloydi,,,,,,
Plagiopholis_unipostocularis,,,,,,
Pseudoxenodon_baramensis,,,,,,
Rhabdophis_callichroma,,,,,,
Rhabdophis_adleri,,,,,,
Rhabdophis_auriculata,,,,,,
Rhabdophis_akraios,,,,,,
Balanophis_ceylonensis,,,,,,
Rhabdophis_angeli,,,,,,
Rhabdophis_callistus,,,,,,
Xenochrophis_sanctijohannis,,,,,,
Xenochrophis_punctulatus,,,,,,
Xenochrophis_flavipunctatus,,,,,,
Xenochrophis_asperrimus,,,,,,
